,Stimulus,Aver. human ratings,emotion,Category
411,Disgust,0.08348338014847165,Disgust,Prototype with mouth opening
412,Disgust,0.12956251432964971,Disgust,Prototype with mouth opening
413,Disgust,0.39552764076806923,Disgust,Prototype with mouth opening
414,Disgust,0.9462124413834362,Disgust,Prototype with mouth opening
415,Disgust,0.12974823017120954,Disgust,Prototype with mouth opening
416,Disgust,0.05325348945960037,Disgust,Prototype with mouth opening
417,Disgust,0.035060531295422984,Disgust,Prototype with mouth opening
418,Disgust,0.006257735531006381,Disgust,Prototype with mouth opening
419,Disgust,0.006518345661152641,Disgust,Prototype with mouth opening
420,Disgust,0.09530440511646797,Disgust,Prototype with mouth opening
421,Disgust,0.08988913538636874,Disgust,Prototype with mouth opening
422,Disgust,0.09530440511646797,Disgust,Prototype with mouth opening
423,Disgust,0.015154452788900886,Disgust,Prototype with mouth opening
424,Disgust,0.28805844238291456,Disgust,Prototype with mouth opening
425,Disgust,0.11121188192636744,Disgust,Prototype with mouth opening
426,Disgust,0.015154452788900886,Disgust,Prototype with mouth opening
427,Disgust,0.2849041265274668,Disgust,Prototype with mouth opening
428,Disgust,0.2436861928766683,Disgust,Prototype with mouth opening
429,Disgust,0.06318867857484228,Disgust,Prototype with mouth opening
430,Disgust,0.05913037772268951,Disgust,Prototype with mouth opening
431,Disgust,0.03310123639613509,Disgust,Prototype with mouth opening
432,Disgust,0.1368427510277463,Disgust,Prototype with mouth opening
433,Disgust,0.016779044306641587,Disgust,Prototype with mouth opening
434,Disgust,0.016308842012481912,Disgust,Prototype with mouth opening
435,Disgust,0.32690381444119676,Disgust,Prototype with mouth opening
436,Disgust,0.03730811677491156,Disgust,Prototype with mouth opening
437,Disgust,0.22206358372827747,Disgust,Prototype with mouth opening
438,Disgust,0.11643877539913522,Disgust,Prototype with mouth opening
439,Disgust,0.3934930210807992,Disgust,Prototype with mouth opening
440,Disgust,0.9836198226619123,Disgust,Prototype with mouth opening
441,Disgust,0.03700234349654297,Disgust,Prototype with mouth opening
442,Disgust,0.41274109337843456,Disgust,Prototype with mouth opening
443,Disgust,0.06867481609036641,Disgust,Prototype with mouth opening
444,Disgust,0.6417819394594778,Disgust,Prototype with mouth opening
