frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
63,0,2.067,0.98,1,0.00,0.02,0.79,0.00,0.76,2.43,0.01,1.30,1.07,2.16,0.06,0.27,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0,2.100,0.98,1,0.00,0.09,0.74,0.00,0.73,2.31,0.00,1.29,1.11,2.12,0.06,0.19,0.00,0.00,0.00,0.01,0.46,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0,2.133,0.98,1,0.00,0.09,0.62,0.00,0.71,2.28,0.00,1.22,1.10,1.99,0.05,0.22,0.00,0.00,0.00,0.03,0.41,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,0,2.167,0.98,1,0.00,0.11,0.49,0.00,0.68,2.33,0.00,1.16,1.12,1.87,0.13,0.22,0.00,0.00,0.00,0.04,0.46,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0,2.200,0.98,1,0.00,0.05,0.45,0.00,0.69,2.42,0.00,1.17,1.15,1.79,0.17,0.22,0.00,0.00,0.00,0.08,0.54,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0,2.233,0.98,1,0.00,0.11,0.51,0.00,0.73,2.42,0.00,1.19,1.20,1.86,0.21,0.19,0.00,0.00,0.00,0.10,0.42,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0,2.267,0.98,1,0.00,0.09,0.59,0.00,0.76,2.45,0.00,1.18,1.23,1.88,0.14,0.16,0.00,0.00,0.00,0.10,0.36,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0,2.300,0.98,1,0.00,0.07,0.63,0.00,0.79,2.50,0.00,1.19,1.20,1.90,0.08,0.15,0.00,0.00,0.00,0.06,0.37,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0,2.333,0.98,1,0.00,0.00,0.67,0.00,0.79,2.46,0.00,1.19,1.18,1.91,0.00,0.17,0.02,0.00,0.00,0.03,0.48,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,0,2.367,0.98,1,0.00,0.00,0.62,0.00,0.80,2.34,0.00,1.22,1.18,1.90,0.00,0.20,0.02,0.00,0.02,0.12,0.48,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
