frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
66,0,2.167,0.98,1,0.40,0.00,0.88,0.00,0.30,1.20,0.00,0.00,1.01,0.16,0.04,0.01,0.01,0.00,0.51,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
67,0,2.200,0.98,1,0.38,0.00,0.90,0.00,0.32,1.02,0.00,0.00,1.02,0.22,0.00,0.00,0.01,0.00,0.54,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
68,0,2.233,0.98,1,0.43,0.00,0.90,0.00,0.32,0.97,0.00,0.00,1.05,0.35,0.00,0.00,0.01,0.00,0.51,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
69,0,2.267,0.98,1,0.48,0.01,0.90,0.00,0.35,1.01,0.00,0.00,1.07,0.48,0.00,0.00,0.00,0.00,0.45,0.00,0.01,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
70,0,2.300,0.98,1,0.55,0.01,0.85,0.00,0.39,1.15,0.00,0.00,1.16,0.54,0.00,0.00,0.00,0.00,0.38,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
71,0,2.333,0.98,1,0.47,0.02,0.83,0.00,0.57,1.34,0.00,0.01,1.28,0.73,0.01,0.05,0.07,0.00,0.38,0.09,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
72,0,2.367,0.98,1,0.33,0.01,0.65,0.00,0.80,1.48,0.00,0.03,1.52,0.99,0.06,0.05,0.07,0.00,0.29,0.12,0.24,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
73,0,2.400,0.98,1,0.14,0.01,0.46,0.00,0.99,1.64,0.00,0.05,1.66,1.27,0.06,0.05,0.07,0.00,0.19,0.17,0.33,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
74,0,2.433,0.98,1,0.04,0.00,0.27,0.00,1.10,1.79,0.00,0.14,1.77,1.38,0.05,0.00,0.00,0.00,0.07,0.08,0.20,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
75,0,2.467,0.98,1,0.00,0.00,0.21,0.00,1.21,1.99,0.00,0.23,1.77,1.42,0.00,0.00,0.00,0.00,0.05,0.05,0.09,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
