frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
64,0,2.100,0.98,1,0.00,0.00,0.91,0.00,0.51,2.57,0.00,0.65,0.78,1.76,0.11,0.11,0.15,0.00,0.00,0.03,0.06,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0,2.133,0.98,1,0.00,0.00,0.80,0.00,0.51,2.44,0.00,0.70,0.83,1.76,0.03,0.10,0.10,0.00,0.00,0.02,0.06,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,0,2.167,0.98,1,0.00,0.00,0.78,0.00,0.50,2.38,0.00,0.73,0.84,1.77,0.00,0.07,0.06,0.00,0.00,0.01,0.06,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0,2.200,0.98,1,0.00,0.00,0.79,0.00,0.45,2.26,0.00,0.79,0.83,1.78,0.00,0.10,0.08,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0,2.233,0.98,1,0.00,0.00,0.87,0.00,0.43,2.17,0.00,0.81,0.81,1.80,0.00,0.10,0.13,0.00,0.02,0.06,0.01,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0,2.267,0.98,1,0.00,0.00,0.92,0.00,0.43,2.13,0.00,0.88,0.80,1.80,0.03,0.14,0.21,0.00,0.02,0.06,0.01,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0,2.300,0.98,1,0.00,0.00,0.93,0.00,0.42,2.11,0.00,0.91,0.82,1.83,0.05,0.11,0.28,0.00,0.02,0.00,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0,2.333,0.98,1,0.00,0.00,0.86,0.00,0.39,1.99,0.00,0.87,0.84,1.86,0.07,0.12,0.22,0.00,0.00,0.04,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,0,2.367,0.98,1,0.00,0.00,0.79,0.00,0.35,1.75,0.01,0.84,0.85,1.85,0.06,0.14,0.15,0.00,0.00,0.05,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,0,2.400,0.98,1,0.00,0.00,0.75,0.00,0.35,1.72,0.03,0.76,0.82,1.87,0.03,0.15,0.07,0.00,0.00,0.08,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
